Batch, Algorithm, Group, Mean, Samples, Variance
64, bandit, test, 0.188011, 2202, 0.152732
65, ab, control, 0.366214, 2575, 0.232191
65, bandit, control, 0.415120, 4365, 0.242851
65, ab, test, 0.199255, 4025, 0.159592
65, bandit, test, 0.187919, 2235, 0.152674
66, ab, control, 0.366526, 2611, 0.232274
66, bandit, control, 0.415895, 4429, 0.242981
66, ab, test, 0.198826, 4089, 0.159333
66, bandit, test, 0.189784, 2271, 0.153834
67, ab, control, 0.367508, 2653, 0.232534
67, bandit, control, 0.415405, 4492, 0.242898
67, ab, test, 0.198698, 4147, 0.159255
67, bandit, test, 0.188908, 2308, 0.153288
68, ab, control, 0.367347, 2695, 0.232489
68, bandit, control, 0.413922, 4554, 0.242644
68, ab, test, 0.197622, 4205, 0.158605
68, bandit, test, 0.188406, 2346, 0.152974
69, ab, control, 0.368267, 2729, 0.232732
69, bandit, control, 0.413232, 4610, 0.242524
69, ab, test, 0.196909, 4271, 0.158173
69, bandit, test, 0.188703, 2390, 0.153158
70, ab, control, 0.366847, 2775, 0.232354
70, bandit, control, 0.413727, 4677, 0.242609
70, ab, test, 0.197457, 4325, 0.158504
70, bandit, test, 0.188609, 2423, 0.153099
71, ab, control, 0.366537, 2821, 0.232270
71, bandit, control, 0.414033, 4746, 0.242661
71, ab, test, 0.198675, 4379, 0.159240
71, bandit, test, 0.188672, 2454, 0.153137
72, ab, control, 0.367053, 2847, 0.232407
72, bandit, control, 0.412365, 4804, 0.242371
72, ab, test, 0.198967, 4453, 0.159415
72, bandit, test, 0.190304, 2496, 0.154150
73, ab, control, 0.365524, 2889, 0.231997
73, bandit, control, 0.411451, 4873, 0.242209
73, ab, test, 0.199291, 4511, 0.159609
73, bandit, test, 0.190740, 2527, 0.154419
74, ab, control, 0.366826, 2936, 0.232344
74, bandit, control, 0.410095, 4933, 0.241966
74, ab, test, 0.198729, 4564, 0.159271
74, bandit, test, 0.192443, 2567, 0.155469
75, ab, control, 0.366533, 2982, 0.232264
75, bandit, control, 0.409610, 4995, 0.241878
75, ab, test, 0.198354, 4618, 0.159044
75, bandit, test, 0.192706, 2605, 0.155630
76, ab, control, 0.366942, 3025, 0.232372
76, bandit, control, 0.410742, 5064, 0.242081
76, ab, test, 0.197861, 4675, 0.158746
76, bandit, test, 0.194234, 2636, 0.156566
77, ab, control, 0.365742, 3065, 0.232051
77, bandit, control, 0.410836, 5131, 0.242097
77, ab, test, 0.197043, 4735, 0.158251
77, bandit, test, 0.193706, 2669, 0.156242
78, ab, control, 0.366645, 3112, 0.232291
78, bandit, control, 0.410202, 5195, 0.241983
78, ab, test, 0.196951, 4788, 0.158194
78, bandit, test, 0.194085, 2705, 0.156474
79, ab, control, 0.366466, 3149, 0.232242
79, bandit, control, 0.410578, 5256, 0.242050
79, ab, test, 0.196042, 4851, 0.157642
79, bandit, test, 0.194971, 2744, 0.157014
